Title	URL	Assignees	Story Points	Status	Date Started	Date Completed	Module Label	Priority Level	Labels
Optimize BbsFormController@getForm1	https://github.com/cgob-mitd-dev/egov-bebs/issues/205	KarstnAncheta	4	Todo P3			misc	P3	backend, enhancement
Optimize ChecklistController@createChecklist	https://github.com/cgob-mitd-dev/egov-bebs/issues/203	KarstnAncheta	2	Todo P3			misc	P3	backend, enhancement
Supplemental Budget	https://github.com/cgob-mitd-dev/egov-bebs/issues/194	KarstnAncheta	80	Todo P3			misc	P3	backend, enhancement, frontend
Update Personnel Modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/112	KarstnAncheta	4	Todo P3			misc	P3	enhancement, frontend
Create PowerPoint for various user modules	https://github.com/cgob-mitd-dev/egov-bebs/issues/199	KarstnAncheta	8	Todo P4			misc		documentation
Update README file	https://github.com/cgob-mitd-dev/egov-bebs/issues/198	KarstnAncheta	4	Todo P4			misc		documentation
Utilize SSO	https://github.com/cgob-mitd-dev/egov-bebs/issues/113	KarstnAncheta		On Hold			misc		backend, enhancement
Add downloadable Template for the Resolutions and Ordinances	https://github.com/cgob-mitd-dev/egov-bebs/issues/103	KarstnAncheta	8	On Hold			misc	P1	backend, frontend
Setup Backend Sk Budget Module	https://github.com/cgob-mitd-dev/egov-bebs/issues/192	KarstnAncheta	80	Done	Sep 9, 2023	Sep 21, 2023	version-1	P2	backend, enhancement, frontend
Rename Ppa => AipPpa	https://github.com/cgob-mitd-dev/egov-bebs/issues/211	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Rename Reference => AipReference	https://github.com/cgob-mitd-dev/egov-bebs/issues/210	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Update Reference Modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/96	KarstnAncheta	1	Done	Sep 14, 2023	Sep 14, 2023	version-1	P2	enhancement, frontend
Rename PersonnelSchedule => BarangayPersonnelSchedule	https://github.com/cgob-mitd-dev/egov-bebs/issues/212	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Rename Personnel => BarangayPersonnel	https://github.com/cgob-mitd-dev/egov-bebs/issues/213	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Rename ExpenditureItem => BarangayExpenditureItem	https://github.com/cgob-mitd-dev/egov-bebs/issues/217	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Rename Procurement => BarangayProcurement	https://github.com/cgob-mitd-dev/egov-bebs/issues/214	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Rename ExpenditureClass => BarangayExpenditureClass	https://github.com/cgob-mitd-dev/egov-bebs/issues/218	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Rename ProcurementItem => BarangayProcurementItem	https://github.com/cgob-mitd-dev/egov-bebs/issues/215	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Rename Expenditure => BarangayExpenditure	https://github.com/cgob-mitd-dev/egov-bebs/issues/216	KarstnAncheta	2	Done	Sep 18, 2023	Sep 18, 2023	version-1	P2	backend, enhancement
Update ExpenditureClass Modal to make it more reusable	https://github.com/cgob-mitd-dev/egov-bebs/issues/225	KarstnAncheta	2	Todo P2			version-1	P2	enhancement, frontend
Update ProcurementItem Modal to make it more reusable	https://github.com/cgob-mitd-dev/egov-bebs/issues/223	KarstnAncheta	2	Todo P2			version-1	P2	enhancement, frontend
Add SK Module Frontend	https://github.com/cgob-mitd-dev/egov-bebs/issues/244	KarstnAncheta	40	Todo P2			version-1	P2	frontend
Add SK Generated Forms	https://github.com/cgob-mitd-dev/egov-bebs/issues/243	KarstnAncheta	40	Todo P2			version-1	P2	backend
Update builders that deal with NumericFormatValidator	https://github.com/cgob-mitd-dev/egov-bebs/issues/240	KarstnAncheta	8	Todo P2			version-1	P2	backend, enhancement
Update ExpenditureItem requests	https://github.com/cgob-mitd-dev/egov-bebs/issues/238	KarstnAncheta	4	Todo P2			version-1	P2	backend, enhancement
Update builder per model to fit both Barangay and Sk needs	https://github.com/cgob-mitd-dev/egov-bebs/issues/239	KarstnAncheta	4	Todo P2			version-1	P2	backend, enhancement
Add factory for Personnel	https://github.com/cgob-mitd-dev/egov-bebs/issues/242	KarstnAncheta	4	Todo P2			version-1	P2	backend, enhancement, frontend
Add factory for ExpenditureClass	https://github.com/cgob-mitd-dev/egov-bebs/issues/241	KarstnAncheta	4	Todo P2			version-1	P2	backend, enhancement, frontend
Add NumericFormatValidator	https://github.com/cgob-mitd-dev/egov-bebs/issues/234	KarstnAncheta	4	Todo P2			version-1	P2	backend, enhancement
Update ExpenditureClass request	https://github.com/cgob-mitd-dev/egov-bebs/issues/237	KarstnAncheta	2	Todo P2			version-1	P2	backend, enhancement
Update ProcurementItem requests	https://github.com/cgob-mitd-dev/egov-bebs/issues/235	KarstnAncheta	2	Todo P2			version-1	P2	backend, enhancement
Update Personnel requests	https://github.com/cgob-mitd-dev/egov-bebs/issues/236	KarstnAncheta	2	Todo P2			version-1	P2	backend, enhancement
Update Profile model and migration to use soft delete	https://github.com/cgob-mitd-dev/egov-bebs/issues/233	KarstnAncheta	8	Todo P1			misc	P1	backend, bug
Fix ExpenditureItemModal store bug	https://github.com/cgob-mitd-dev/egov-bebs/issues/232	KarstnAncheta	1	Todo P1			misc	P1	bug, frontend
Fix Project Details Modal Overflow	https://github.com/cgob-mitd-dev/egov-bebs/issues/114	KarstnAncheta	8	Todo P1			misc	P1	bug, enhancement, frontend
Update Ppa Modal to make it more reusable	https://github.com/cgob-mitd-dev/egov-bebs/issues/221	KarstnAncheta	4	Archived - New	Sep 10, 2023	Sep 10, 2023	misc	P1	enhancement, frontend
Add SK-related positions	https://github.com/cgob-mitd-dev/egov-bebs/issues/230	KarstnAncheta	0.5	Archived - New	Sep 10, 2023	Sep 10, 2023	version-1	P2	backend
Manually Test APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/200	KarstnAncheta	4	Archived - New	Sep 8, 2023	Sep 8, 2023	mvp	P2	backend
Remove ability to set payment errors in Form 4 for unauthorized users	https://github.com/cgob-mitd-dev/egov-bebs/issues/209	KarstnAncheta	0.5	Archived - New	Sep 8, 2023	Sep 8, 2023	misc	P3	bug, enhancement, frontend
Fix page reload after updating checklist status	https://github.com/cgob-mitd-dev/egov-bebs/issues/195	KarstnAncheta	1	Archived - New	Sep 7, 2023	Sep 8, 2023	misc	P3	enhancement, frontend
Rename "Debts" to "Debt"	https://github.com/cgob-mitd-dev/egov-bebs/issues/190	KarstnAncheta	4	Archived - New	Sep 7, 2023	Sep 7, 2023	misc	P1	backend, enhancement, frontend
