Title	URL	Assignees	Story Points	Status	Date Started	Date Completed	Module Label	Priority Level	Labels
fix searchbar bug for enums	https://github.com/cgob-mitd-dev/egov-bebs/issues/70	KarstnAncheta	2	Archived - Old	May 8, 2023	May 8, 2023	miscellaneous tasks	P1	backend, frontend
update aip reference codes	https://github.com/cgob-mitd-dev/egov-bebs/issues/68	KarstnAncheta	1	Archived - Old	May 8, 2023	May 8, 2023	miscellaneous tasks	P1	backend, enhancement
rename in FS - Total => Total (current year)	https://github.com/cgob-mitd-dev/egov-bebs/issues/94	KarstnAncheta	4	Archived - Old	Jun 7, 2023	Jun 8, 2023	miscellaneous tasks	P1	enhancement, frontend
update accounts.json	https://github.com/cgob-mitd-dev/egov-bebs/issues/84	KarstnAncheta	0.5	Archived - Old	May 22, 2023	May 22, 2023	miscellaneous tasks	P1	backend
05302023 requests	https://github.com/cgob-mitd-dev/egov-bebs/issues/89	KarstnAncheta	8	Archived - Old	May 30, 2023	May 30, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
update Equipment Form	https://github.com/cgob-mitd-dev/egov-bebs/issues/73	KarstnAncheta	2	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	enhancement, frontend
add generate reference and sub reference in helpers.js	https://github.com/cgob-mitd-dev/egov-bebs/issues/83	KarstnAncheta	2	Archived - Old	May 19, 2023	May 19, 2023	miscellaneous tasks	P1	enhancement, frontend
add account column for supplies and equipment	https://github.com/cgob-mitd-dev/egov-bebs/issues/80	KarstnAncheta	2	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P1	enhancement, frontend
Debt - Term in years to months	https://github.com/cgob-mitd-dev/egov-bebs/issues/101	KarstnAncheta	0.5	Archived - Old	Jun 7, 2023	Jun 7, 2023	miscellaneous tasks	P1	backend, enhancement
update Form likeness	https://github.com/cgob-mitd-dev/egov-bebs/issues/74	KarstnAncheta	2	Archived - Old	May 18, 2023	May 18, 2023	miscellaneous tasks	P3	enhancement, frontend
Add initial migrations	https://github.com/cgob-mitd-dev/egov-bebs/issues/3	KarstnAncheta	4	Archived - Old	Feb 24, 2023	Feb 24, 2023	mvp	P2	backend
Utilize UUIDs	https://github.com/cgob-mitd-dev/egov-bebs/issues/66	KarstnAncheta	4	Archived - Old	Apr 28, 2023	Apr 28, 2023	mvp	P2	backend, enhancement
Add initial models	https://github.com/cgob-mitd-dev/egov-bebs/issues/2	KarstnAncheta	8	Archived - Old	Feb 24, 2023	Feb 24, 2023	mvp	P2	backend
Accept PDF files only for uploadable files	https://github.com/cgob-mitd-dev/egov-bebs/issues/87	KarstnAncheta	8	Archived - Old	May 26, 2023	May 26, 2023	mvp	P1	backend, enhancement, frontend
CPDSO approved gad plan and buget	https://github.com/cgob-mitd-dev/egov-bebs/issues/58	KarstnAncheta	2	Archived - Old	Apr 26, 2023	May 18, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
add is_bdrrm flag to reference	https://github.com/cgob-mitd-dev/egov-bebs/issues/85	KarstnAncheta	0.5	Archived - Old	May 23, 2023	May 23, 2023	miscellaneous tasks	P1	backend, enhancement
update reference modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/86	KarstnAncheta	1	Archived - Old	May 23, 2023	May 23, 2023	miscellaneous tasks	P3	backend, enhancement, frontend
update funding sources	https://github.com/cgob-mitd-dev/egov-bebs/issues/88	KarstnAncheta	1	Archived - Old	May 24, 2023	May 24, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
update supplies and equipment validation	https://github.com/cgob-mitd-dev/egov-bebs/issues/67	KarstnAncheta	1	Archived - Old	May 8, 2023	May 8, 2023	miscellaneous tasks	P1	backend, enhancement
Use new 'client2' folder for frontend	https://github.com/cgob-mitd-dev/egov-bebs/issues/24	KarstnAncheta	2	Archived - Old	Mar 10, 2023	Mar 10, 2023	mvp	P2	frontend
add sector to aip generated form	https://github.com/cgob-mitd-dev/egov-bebs/issues/69	KarstnAncheta	1	Archived - Old	May 8, 2023	May 10, 2023	miscellaneous tasks	P3	backend, enhancement, frontend
add loading component	https://github.com/cgob-mitd-dev/egov-bebs/issues/44	KarstnAncheta	1	Archived - Old	Apr 22, 2023	Apr 22, 2023	miscellaneous tasks	P3	enhancement, frontend
add request validation for ENUM requests	https://github.com/cgob-mitd-dev/egov-bebs/issues/14	KarstnAncheta	4	Archived - Old	Apr 4, 2023	Apr 4, 2023	miscellaneous tasks	P1	backend
update personnel category modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/45	KarstnAncheta	1	Archived - Old	Apr 4, 2023	Apr 4, 2023	miscellaneous tasks	P2	enhancement, frontend
Add dashboard display of barangay info	https://github.com/cgob-mitd-dev/egov-bebs/issues/46	KarstnAncheta	2	Archived - Old	Apr 4, 2023	Apr 4, 2023	mvp	P2	backend, frontend
create TSelectSimple	https://github.com/cgob-mitd-dev/egov-bebs/issues/53	KarstnAncheta	1	Archived - Old	Apr 4, 2023	Apr 4, 2023	miscellaneous tasks	P3	enhancement, frontend
Add generic message component	https://github.com/cgob-mitd-dev/egov-bebs/issues/55	KarstnAncheta	4	Archived - Old	Apr 10, 2023	Apr 10, 2023	miscellaneous tasks	P1	frontend
Fix salary grade problem	https://github.com/cgob-mitd-dev/egov-bebs/issues/39	KarstnAncheta	2	Archived - Old	Apr 25, 2023	Apr 25, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
Reposition Checklist Buttons	https://github.com/cgob-mitd-dev/egov-bebs/issues/62	KarstnAncheta	4	Archived - Old	Apr 21, 2023	Apr 24, 2023	miscellaneous tasks	P3	enhancement, frontend
Make font size bigger	https://github.com/cgob-mitd-dev/egov-bebs/issues/63	KarstnAncheta	1	Archived - Old	Apr 24, 2023	Apr 24, 2023	miscellaneous tasks	P3	enhancement, frontend
Update Profile and Address migrations	https://github.com/cgob-mitd-dev/egov-bebs/issues/40	KarstnAncheta	4	Archived - Old	Mar 29, 2023	Mar 29, 2023	mvp	P2	backend
remove delete feedback	https://github.com/cgob-mitd-dev/egov-bebs/issues/50	KarstnAncheta	0.5	Archived - Old	Apr 4, 2023	Apr 4, 2023	miscellaneous tasks	P3	backend, frontend
update account migrations	https://github.com/cgob-mitd-dev/egov-bebs/issues/36	KarstnAncheta	0.5	Archived - Old	Mar 29, 2023	Mar 29, 2023	miscellaneous tasks	P1	backend
add sectors composable	https://github.com/cgob-mitd-dev/egov-bebs/issues/51	KarstnAncheta	0.5	Archived - Old	Apr 4, 2023	Apr 4, 2023	miscellaneous tasks	P1	frontend
update feedback migrations	https://github.com/cgob-mitd-dev/egov-bebs/issues/35	KarstnAncheta	0.5	Archived - Old	Mar 29, 2023	Mar 29, 2023	miscellaneous tasks	P1	backend
Add user roles	https://github.com/cgob-mitd-dev/egov-bebs/issues/33	KarstnAncheta	8	Archived - Old	Mar 22, 2023	Mar 23, 2023	mvp	P2	backend
Add feedback page	https://github.com/cgob-mitd-dev/egov-bebs/issues/30	KarstnAncheta	4	Archived - Old	Mar 29, 2023	Mar 29, 2023	miscellaneous tasks	P3	frontend
update error color from red to purple	https://github.com/cgob-mitd-dev/egov-bebs/issues/42	KarstnAncheta	2	Archived - Old	Mar 30, 2023	Mar 30, 2023	miscellaneous tasks	P3	enhancement, frontend
Utilize postgresql	https://github.com/cgob-mitd-dev/egov-bebs/issues/21	KarstnAncheta	16	Archived - Old	Mar 23, 2023	Mar 23, 2023	miscellaneous tasks	P1	backend
update TextInputSimple to TextInput	https://github.com/cgob-mitd-dev/egov-bebs/issues/43	KarstnAncheta	1	Archived - Old	Mar 30, 2023	Mar 30, 2023	miscellaneous tasks	P3	frontend
Add pagination for admin settings	https://github.com/cgob-mitd-dev/egov-bebs/issues/32	KarstnAncheta	8	Archived - Old	Mar 22, 2023	Mar 22, 2023	miscellaneous tasks	P1	backend, frontend
Add filter by district for barangay annual checklist page	https://github.com/cgob-mitd-dev/egov-bebs/issues/38	KarstnAncheta	2	Archived - Old	Mar 30, 2023	Mar 30, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
Add search and filter params for ENUMS	https://github.com/cgob-mitd-dev/egov-bebs/issues/48	KarstnAncheta	8	Archived - Old	Apr 1, 2023	Apr 1, 2023	miscellaneous tasks	P3	frontend
update personnel categories migrations	https://github.com/cgob-mitd-dev/egov-bebs/issues/37	KarstnAncheta	0.5	Archived - Old	Mar 29, 2023	Mar 29, 2023	miscellaneous tasks	P1	backend
add "reset" button in Barangay Checklist page	https://github.com/cgob-mitd-dev/egov-bebs/issues/49	KarstnAncheta	1	Archived - Old	Apr 4, 2023	Apr 4, 2023	miscellaneous tasks	P3	frontend
update account modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/47	KarstnAncheta	1	Archived - Old	Apr 1, 2023	Apr 1, 2023	miscellaneous tasks	P1	enhancement, frontend
add tooltip in barangay card	https://github.com/cgob-mitd-dev/egov-bebs/issues/57	KarstnAncheta	0.5	Archived - Old	Apr 11, 2023	Apr 11, 2023	miscellaneous tasks	P3	enhancement, frontend
remove particulars mode, controller, and FKs	https://github.com/cgob-mitd-dev/egov-bebs/issues/19	KarstnAncheta	2	Archived - Old	Mar 9, 2023	Mar 9, 2023	miscellaneous tasks	P2	backend
Add frontend authentication for routes	https://github.com/cgob-mitd-dev/egov-bebs/issues/20	KarstnAncheta	40	Archived - Old	Mar 24, 2023	Mar 30, 2023	miscellaneous tasks	P1	frontend
update account codes JSON	https://github.com/cgob-mitd-dev/egov-bebs/issues/13	KarstnAncheta	0.5	Archived - Old	Mar 13, 2023	Mar 13, 2023	miscellaneous tasks	P1	backend
Add resources for models	https://github.com/cgob-mitd-dev/egov-bebs/issues/15	KarstnAncheta	8	Archived - Old	Mar 13, 2023	Mar 13, 2023	miscellaneous tasks	P3	backend
Add initial CRUD functions	https://github.com/cgob-mitd-dev/egov-bebs/issues/9	KarstnAncheta	80	Archived - Old	Feb 28, 2023	Mar 9, 2023	mvp	P2	backend
Add model relationships	https://github.com/cgob-mitd-dev/egov-bebs/issues/11	KarstnAncheta	32	Archived - Old	Mar 2, 2023	Mar 6, 2023	mvp	P2	backend
update migration 'double' values	https://github.com/cgob-mitd-dev/egov-bebs/issues/22	KarstnAncheta	2	Archived - Old	Mar 13, 2023	Mar 13, 2023	miscellaneous tasks	P1	backend
Add initial seeders	https://github.com/cgob-mitd-dev/egov-bebs/issues/4	KarstnAncheta	8	Archived - Old	Feb 24, 2023	Feb 24, 2023	mvp	P2	backend
Add initial controller CRUD functions for enums	https://github.com/cgob-mitd-dev/egov-bebs/issues/5	KarstnAncheta	40	Archived - Old	Feb 24, 2023	Feb 28, 2023	mvp	P2	backend
refactor method names	https://github.com/cgob-mitd-dev/egov-bebs/issues/18	KarstnAncheta	4	Archived - Old	Mar 9, 2023	Mar 9, 2023	miscellaneous tasks	P3	backend
Add soft delete in models and migrations	https://github.com/cgob-mitd-dev/egov-bebs/issues/7	KarstnAncheta	4	Archived - Old	Feb 27, 2023	Feb 27, 2023	mvp	P2	backend
add profile and personnel relationship	https://github.com/cgob-mitd-dev/egov-bebs/issues/17	KarstnAncheta	1	Archived - Old	Mar 9, 2023	Mar 9, 2023	miscellaneous tasks	P1	backend
Update ExpenditureClass APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/134	KarstnAncheta	2	Archived - Old	Jul 13, 2023	Jul 13, 2023	miscellaneous tasks	P1	backend
Add Control Values	https://github.com/cgob-mitd-dev/egov-bebs/issues/117	KarstnAncheta	56	Archived - Old	Jul 3, 2023	Jul 11, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
